x,y,z
-7.66263,-8.80264,24.3193
-7.7805,-8.99651,24.3575
-7.90555,-9.18894,24.4203
-8.03686,-9.37809,24.508
-8.17344,-9.562,24.6206
-8.31419,-9.73856,24.7579
-8.4579,-9.90559,24.9193
-8.60328,-10.0608,25.1041
-8.74893,-10.2019,25.3111
-8.89336,-10.3265,25.5387
-9.03502,-10.4324,25.7851
-9.17228,-10.5174,26.0478
-9.30348,-10.5795,26.3242
-9.42693,-10.6171,26.6113
-9.54096,-10.6286,26.9055
-9.64393,-10.6131,27.2032
-9.73429,-10.5699,27.5004
-9.8106,-10.499,27.7929
-9.87157,-10.4008,28.0767
-9.91612,-10.2763,28.3476
-9.94335,-10.1269,28.6016
-9.95267,-9.95487,28.8349
-9.94373,-9.76257,29.0442
-9.91648,-9.553,29.2265
-9.87117,-9.3294,29.3794
-9.80836,-9.09529,29.5009
-9.72888,-8.85429,29.5898
-9.63385,-8.61007,29.6455
-9.52461,-8.36621,29.6678
-9.40272,-8.12615,29.6572
-9.2699,-7.89307,29.6146
-9.12799,-7.66985,29.5416
-8.97892,-7.45902,29.4399
-8.82466,-7.26274,29.3117
-8.66719,-7.08278,29.1593
-8.50842,-6.92053,28.9852
-8.35022,-6.77701,28.7919
-8.19435,-6.65291,28.5823
-8.04246,-6.54861,28.3588
-7.89606,-6.46423,28.124
-7.75652,-6.39968,27.8805
-7.62507,-6.35466,27.6306
-7.50277,-6.32875,27.3767
-7.39055,-6.32142,27.1209
-7.28918,-6.33205,26.8653
-7.19932,-6.35998,26.6118
-7.12147,-6.4045,26.3623
-7.05604,-6.4649,26.1186
-7.00332,-6.54047,25.8822
-6.96352,-6.63049,25.6548
-6.93674,-6.73424,25.4379
-6.92302,-6.85102,25.2329
-6.92232,-6.98012,25.0412
-6.93454,-7.12082,24.8641
-6.95951,-7.27237,24.7031
-6.99702,-7.434,24.5593
-7.04681,-7.6049,24.434
-7.10852,-7.78418,24.3284
-7.1818,-7.97088,24.2435
-7.26618,-8.16395,24.1806
-7.36117,-8.36224,24.1406
-7.46619,-8.56444,24.1245
-7.58059,-8.76915,24.1331
-7.70364,-8.97477,24.1672
-7.83453,-9.17958,24.2272
-7.97233,-9.38169,24.3135
-8.11605,-9.57904,24.4263
-8.26454,-9.76944,24.5655
-8.4166,-9.95054,24.7308
-8.57087,-10.1199,24.9213
-8.7259,-10.275,25.1359
-8.88016,-10.4134,25.3733
-9.03199,-10.5325,25.6314
-9.17967,-10.6298,25.908
-9.32142,-10.7032,26.2002
-9.45542,-10.7507,26.5049
-9.57986,-10.7704,26.8184
-9.69295,-10.7613,27.1368
-9.79297,-10.7224,27.4558
-9.87832,-10.6534,27.7711
-9.94754,-10.5547,28.078
-9.99937,-10.4272,28.372
-10.0328,-10.2724,28.6487
-10.0471,-10.0924,28.9039
-10.0418,-9.8899,29.1339
-10.0167,-9.66801,29.3353
-9.97215,-9.43026,29.5054
-9.90858,-9.18047,29.6419
-9.82687,-8.92262,29.7434
-9.72816,-8.66072,29.809
-9.61389,-8.39873,29.8387
-9.48572,-8.14043,29.8328
